At 13:31, CalWatch crashed, but it looks like lots of other stuff was being killed off / failing at the same time. Hmm.

    --------- beginning of /dev/log/system
12-25 11:07:51.367      816-842/? I/ActivityManager﹕ Start proc com.google.android.tts for service com.google.android.tts/.service.GoogleTTSService: pid=20895 uid=10049 gids={50049, 3003, 1028, 1015}
12-25 11:07:51.517     816-1164/? I/ActivityManager﹕ Process com.google.android.partnersetup (pid 20127) has died.
12-25 11:07:51.677      816-826/? I/ActivityManager﹕ Process com.teslamotors.tesla (pid 20698) has died.
12-25 11:07:51.947      816-827/? I/ActivityManager﹕ Process com.android.providers.calendar (pid 20674) has died.
12-25 11:07:52.047     816-1163/? I/ActivityManager﹕ Process com.google.android.tts (pid 20895) has died.
12-25 11:07:52.047     816-1163/? W/ActivityManager﹕ Scheduling restart of crashed service com.google.android.tts/.service.GoogleTTSService in 4000ms
12-25 11:07:52.047     816-1163/? A/ProcessStats﹕ Starting service ServiceState{43a44508 com.google.android.tts.service.GoogleTTSService pkg=com.google.android.tts proc=43a44508} without owner
12-25 11:07:52.377     816-1163/? I/ActivityManager﹕ Process com.google.android.calendar (pid 19734) has died.
12-25 11:07:52.507      816-826/? I/ActivityManager﹕ Process com.nestlabs.android (pid 7458) has died.
12-25 11:07:52.507     816-7675/? I/WindowState﹕ WIN DEATH: Window{43a28408 u0 com.nestlabs.android/com.obsidian.v4.activity.MainActivity}
12-25 11:07:52.507      816-826/? A/ActivityManager﹕ Service ServiceRecord{45fd9658 u0 com.nestlabs.android/com.obsidian.v4.data.cz.service.NestService} in process ProcessRecord{42e2e160 7458:com.nestlabs.android/u0a78} not same as in map: null
12-25 11:07:53.097     816-1541/? I/ActivityManager﹕ Start proc com.android.providers.partnerbookmarks for content provider com.android.providers.partnerbookmarks/.PartnerBookmarksProvider: pid=20929 uid=10064 gids={50064}
12-25 11:07:53.447     816-1163/? I/ActivityManager﹕ Start proc com.google.android.partnersetup for content provider com.google.android.partnersetup/.RlzAppProvider: pid=20963 uid=10011 gids={50011, 3003}
12-25 11:07:53.567     816-1569/? I/ActivityManager﹕ Start proc com.android.chrome:sandboxed_process2 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService2: pid=20979 uid=99142 gids={}
12-25 11:07:53.697     816-1569/? I/ActivityManager﹕ Process com.android.chrome:sandboxed_process2 (pid 20979) has died.
12-25 11:07:53.707     816-1569/? W/ActivityManager﹕ Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService2 in 12347ms
